path,sections,paragraphs,inspection
研究進捗報告/2024/10月11日/研究進捗報告_柴崎陸_10月11日.docx,1,14,XML text extracted; 2026 plans and reports substantively reviewed
研究進捗報告/2024/10月18日(発表)/進捗報告_柴崎陸_10月18日.pptx,18,168,XML text extracted; 2026 plans and reports substantively reviewed
研究進捗報告/2024/10月25日/研究進捗報告_柴崎陸_10月25日.docx,1,11,XML text extracted; 2026 plans and reports substantively reviewed
研究進捗報告/2024/10月29日_原子力機構/原子力機構発表_柴崎陸_10月29日.pptx,24,285,XML text extracted; 2026 plans and reports substantively reviewed
研究進捗報告/2024/10月4日/研究進捗報告_柴崎陸_10月4日.docx,1,13,XML text extracted; 2026 plans and reports substantively reviewed
研究進捗報告/2024/11月15日(発表)/研究進捗発表_柴崎陸_11月15日.pptx,25,305,XML text extracted; 2026 plans and reports substantively reviewed
研究進捗報告/2024/11月1日/研究進捗報告_柴崎陸_11月1日.docx,1,10,XML text extracted; 2026 plans and reports substantively reviewed
研究進捗報告/2024/11月22日/研究進捗報告_柴崎陸_11月22日.docx,1,16,XML text extracted; 2026 plans and reports substantively reviewed
研究進捗報告/2024/11月29日/研究進捗報告_柴崎陸_11月29日.docx,1,11,XML text extracted; 2026 plans and reports substantively reviewed
研究進捗報告/2024/11月8日/研究進捗報告_柴崎陸_11月8日.docx,1,15,XML text extracted; 2026 plans and reports substantively reviewed
研究進捗報告/2024/12月13日(中間発表下半期)/中間発表(下半期)_前刷り_柴崎陸.docx,1,25,XML text extracted; 2026 plans and reports substantively reviewed
研究進捗報告/2024/12月13日(中間発表下半期)/中間発表(下半期)_柴崎陸.pptx,29,368,XML text extracted; 2026 plans and reports substantively reviewed
研究進捗報告/2024/12月13日(中間発表下半期)/中間発表_柴崎陸_前刷りの図.pptx,8,71,XML text extracted; 2026 plans and reports substantively reviewed
研究進捗報告/2024/12月13日(中間発表下半期)/中間発表フィードバック（柴崎さん）.docx,1,63,XML text extracted; 2026 plans and reports substantively reviewed
研究進捗報告/2024/12月20日/研究進捗報告_柴崎陸_12月20日.docx,1,13,XML text extracted; 2026 plans and reports substantively reviewed
