path,line,tags,text
AGENTS.md,9,next,- 本人の最新指示を、古い計画やAIの提案より優先する。設定済み・実装済み・結果出力済み・研究上の検証済みを分ける。
AGENTS.md,10,next,- 結果を確認したら `experiments/` に日付付き根拠を残し、現在地を更新する。過去の「次にやること」を未完了と決めつけて再実行しない。
AGENTS.md,14,method,音響データからプール沸騰の状態を推定する。中心タスクは、音声から作成したスペクトログラムを使って熱流束を回帰予測し、閾値を用いて沸騰開始点を検知すること。単なる分類精度だけでなく、モデルが沸騰現象に関係する時間・周波数特徴をどのように見ているか、物理的に妥当な説明ができるかを重視する。
AGENTS.md,38,next,- 研究報告文では、断定しすぎず、「現時点では」「今後確認する」「検討中」といった研究進行中の文体を自然に使う。
AGENTS.md,55,next,3. `templates/論文輪講_スライド構成案.md` をコピーして `研究進捗報告/<年>/<回>（論文輪講）/スライド構成案.md` を作る。流れは ①論文を選んだ理由（冒頭で自研究との接続）→ ②背景・目的 → ③手法 → ④結果・結論。手法の枚数は論文のステップ数に合わせて伸縮させる。
README.md,9,next,| **今どこまで終わり、次に何をするか** | **[研究の現在地](docs/research_status.md)** |
README.md,16,next,9月15日に、文書・コード・保存結果の更新差を整理しました。今週は説明性の出力と解釈を優先し、ONB近傍の検知設計・新実験・同時計測は金曜の発表後に進めます。日々変わる設定・完了状況は「研究の現在地」で管理します。
README.md,34,next,Codexは最初に [AGENTS.md](AGENTS.md) と現在地を読み、作業に必要な根拠へ進みます。過去の「次にやること」を、そのまま現在の未完了作業として再実行しない運用にします。
configs/README.md,19,method,- どのデータ、どの前処理、どのモデル、どの閾値で実験したかを後から追えるようにする。
docs/audits/2026-09-15_workspace_review/README.md,10,next,- **92 PDF**は所在・容量・更新日時を索引化。今回は全PDFの本文再読はしていない。Office原本と対になる資料は原本を優先した。
docs/audits/2026-09-15_workspace_review/README.md,12,old_execution,- 9月のselected-log系列178 run manifestsを確認。9/14の6条件の保存予測からR²・RMSE・Recallを再計算し、36モデル条件で一致を確認。説明性のCSVを集計し、同一ONB標本の入力・IG画像3枚を目視確認。
docs/audits/2026-09-15_workspace_review/README.md,22,old_execution,| 設定7条件、保存6条件、計画70条件が混同される | 設定/出力/計画/途中runを別行にした |
docs/audits/2026-09-15_workspace_review/README.md,23,old_claim,| 一般化「未実装」が残る | 実装済み・本性能未確認と明記 |
docs/audits/2026-09-15_workspace_review/README.md,25,old_claim,| RF最強・全モデル2–5 kHz・ONB全方式見逃しが最新runにも適用される | 新しいlog-power結果と9/14の結果へ更新先を付けた |
docs/audits/2026-09-15_workspace_review/README.md,26,method,| 説明画像が出力されれば物理解釈できるように読める | IGの179/180例の不一致、PCA説明の範囲、代表図と全体マスクの違いを明記 |
docs/audits/2026-09-15_workspace_review/README.md,27,next,| 年間計画の本人希望とAI提案の区別が曖昧 | 本人の9/18発表優先を明記。ONB・新実験・同時計測は発表後にした |
docs/code_map.md,16,method,| 回帰・二値指標 | [regression_detection_metrics.py](../code/utils/calculation/regression_detection_metrics.py) | R²/RMSE/MAE、連続ROC/PR-AUC、二値分類指標 |
docs/code_map.md,18,method,| ONB閾値 | [onb_thresholds.py](../code/utils/experiment/onb_thresholds.py) | 3日分の正確な閾値と原資料の出典 |
docs/code_map.md,19,method,| 説明性 | [training_integration.py](../code/utils/explainability/training_integration.py)、[spectrogram_explainers.py](../code/utils/explainability/spectrogram_explainers.py) | TreeSHAP/IG/Grad-CAM/マスク、整合性・安定性・最終層ランダム化 |
docs/code_map.md,27,method,現行の有効3モデルは`rf / cnntf_v2_gap / alexnet`。統合は`simple_equal / inner_holdout`。`prediction_max`は削除済み。`val_fold_legacy`は再現・診断用で主張不可。詳細な構造の採用根拠は[8/30比較](../experiments/2026-08-30_log_power_architecture_study.md)。
docs/data_inventory.md,55,next,- noise: `water_flow_125.wav`。全3実験で1つの固定基準RMSを共有し、選択したノイズchunkを目標パワーへ正規化する。
docs/data_inventory.md,60,method,- 学習スクリプト: `code/run_ensemble_regression_onb.py`。元WAV ID単位のGroupKFoldを使用する。
docs/data_inventory.md,69,next,- 状態: アーカイブ扱い。今後の学習・主結果には使用しない。
docs/document_index.md,23,next,1. 研究の希望・進め方は、**本人の最新の明示指示**を優先する。
docs/document_index.md,27,next,5. 古い「次にやること」やAIの提案は、現在の未完了作業・本人の確定方針へ自動昇格させない。
docs/document_index.md,37,next,| 7/24の「P0診断は未実行」 | [8/17診断結論](research_plan/2026-08-17_noise_accuracy_reversal_investigation.md)で更新済み |
docs/document_index.md,38,method,| 7月以前の高ノイズ高精度・通常KFold結果 | 生成仕様/元WAV混在の影響を区別。現行頑健性の主結果へ流用しない |
docs/document_index.md,39,old_claim,| 8/28・8/30のRF最強、全モデル2–5 kHz、深層立て直し案 | 当時の診断・提案。log-power採用後の[9/8結果](../experiments/2026-09-14_status_audit/README.md)と[9/14結果](../experiments/2026-09-15_research_status_snapshot/README.md)が現在の判断材料 |
docs/document_index.md,40,old_execution,| 9/2の56/105条件と「安全なinner holdout」 | 中断時の記録。9/3の105条件が別にある。旧innerの元WAV混在は[9/8監査](../experiments/2026-09-08_wav_onb_transition_evaluation_implementation.md)で判明 |
docs/document_index.md,41,old_claim,| 9/14午前の「一般化は未実装」 | 同日の[実装記録](research_plan/2026-09-14_result_layout_and_generalization.md)で更新。性能検証の本実行とは区別 |
docs/document_index.md,42,old_execution;method,| 9/14の「現在6条件」「3方式」 | 当日の試行記録。現行は7条件・2方式。最大予測値方式は[削除記録](../experiments/2026-09-14_remove_prediction_max/README.md)を参照 |
docs/document_index.md,67,next,過去スレッドを参照できない環境でも引き継げるよう、会話で決めたことのうち研究に必要な結論・日付・根拠をここへ残す。全会話ログがこのディレクトリに揃っているとは断定しない。
docs/notes/data_notes.md,15,method,- ONB時刻や気泡イベント正解は、熱流束ラベルや予測の閾値交差から自動的には得られない。
docs/notes/experiment_log.md,7,old_execution,- [9/15採取：9/14の6条件・説明性と9月実行一覧](../../experiments/2026-09-15_research_status_snapshot/README.md)
docs/notes/experiment_log.md,9,old_execution,- [9/2の56条件記録](../../experiments/2026-09-02_selected_log_architecture/README.md)：当時の中断スナップショット。旧inner holdoutの安全性は9/8監査で更新。
docs/notes/model_notes.md,13,method,現行の統合は`simple_equal`と`inner_holdout`。`val_fold_legacy`は外側正解を使う診断・再現用で主張不可。`prediction_max`は9/14最終変更で削除済み。[方式カタログ](../../code/utils/ensemble/strategy_catalog.py)が実装上の正本。
docs/notes/model_notes.md,15,method,`inner_holdout`も世代を区別する。9/8より前のchunkランダム分割は元WAV混在があり、旧結果では主張用から除外される。現行の元WAV非重複holdoutはnested stackingではない。
docs/progress/2026-05-21_weekly_progress.md,3,next,> **履歴・適用範囲（2026-09-15追記）**: この文書は当時の条件・判断の記録です。本文の「現在」「次にやること」は作成時点を指します。最新の設定・完了範囲・優先順位は[研究の現在地](../research_status.md)、更新関係は[文書案内](../document_index.md)を参照してください。
docs/progress/2026-05-21_weekly_progress.md,13,method,- 学部研究では、音声から作成したSTFTスペクトログラムを用い、CNN回帰によって熱流束を推定し、閾値処理により沸騰検知が成立する可能性を確認した。
docs/progress/2026-05-21_weekly_progress.md,28,next,- 明日の発表では、今週の実験結果を中心にするのではなく、研究の一本筋、教授コメントへの対応、今後の検証計画を示す構成にする方針を立てた。
docs/progress/2026-05-21_weekly_progress.md,36,next,- 先生の指摘の通り、生のAttention mapをそのまま説明根拠とみなすのは不十分である。今後はAttention mapを補助的な可視化に留め、勾配ベース手法、関連度伝播、マスク・摂動実験を組み合わせる必要がある。
docs/progress/2026-05-21_weekly_progress.md,38,method,- 評価指標もR2、AUC、RMSEだけでは不十分であり、ONB近傍誤差、検知遅れ、低FPRでのTPR、SNR別性能、注目領域の安定性、物理的特徴帯域との重なりを追加することで、研究目的に合った評価になると考えられる。
docs/progress/2026-05-21_weekly_progress.md,39,next,- 今週は実験結果の更新は限定的だが、研究の説明軸を整理できた点は、今後の実験設計と発表方針にとって重要である。
docs/progress/2026-05-21_weekly_progress.md,58,method,- 評価指標として、R2やAUCに加えて、ONB近傍誤差、検知遅れ、SNR別性能、注目領域マスク時の予測低下、時間シャッフル時の性能低下を追加する方針でよいか。
docs/progress/2026-05-21_weekly_progress.md,59,next,- STFT窓幅変更とCWT入力の比較は、どの条件から優先して実施するのがよいか。
docs/progress/2026-09-18_weekly_progress_draft.md,20,method,ONB評価では全35組でWAV ROC-AUCが1.0となったが、32組は最初のONB WAVを見逃した。近傍±10%に含まれる録音は1本だった。新しい実験・同時計測は今回行っていない。
docs/progress/2026-09-18_weekly_progress_draft.md,24,next,今回の範囲ではCNN＋Transformerが多くの条件で高精度だったが、最良の方式はノイズ条件で変わった。統合による補完は認められる条件があるものの、常に最良単体を上回るとは言えない。単一実験日・seedで各ノイズに合わせて再学習した結果であり、未知ノイズ・別日への一般化は今後確認する。
docs/progress/2026-09-18_weekly_progress_draft.md,28,old_claim,IG画像には入力の低周波構造と対応して見える部分があるが、数値整合性が不足している。生power上のゼロbaselineからの積分とlog変換の組合せが原因候補と考えられ、log変換だけの補助数値例でも64分割の誤差を確認した。学習済みモデル全体の原因は未確定である。局所的に安定した画像が得られることと、予測差を正しく説明できることを分けて扱う。
docs/progress/2026-09-18_weekly_progress_draft.md,30,method,ROC-AUCが高くても固定閾値でONB点を捉えられないため、全域回帰とONB捕捉は別の課題として評価する必要がある。現状は測定点順の比較であり、秒単位の早期検知は評価できていない。
docs/progress/2026-09-18_weekly_progress_draft.md,37,old_execution,4. 進行中の3 kHzが揃えば別解析として比較する。一般化評価は代表条件でclean_only、次いで別日評価を進める。
docs/progress/weekly_report_guide.md,10,next,- `P: Plan`: 次週やること、短期目標、中期的な計画、相談したいこと。
docs/progress/weekly_report_guide.md,17,next,- Pには、次に何をやれば研究が前に進むかを書く。
docs/progress/weekly_report_guide.md,29,old_claim,結果の引用時は、収録日と解析日、run、データ版、分割、評価単位を確認する。過去の「未着手」を今週の未完了事項として繰り返さず、実装・出力・解釈の進捗を分けて書く。
docs/progress/weekly_report_guide.md,31,next,## 下書きで優先する内容
docs/progress/weekly_report_guide.md,36,next,- 結果が出ていない場合、次に確認すべき条件。
docs/progress/weekly_report_guide.md,43,next,- 次に何をするかが曖昧なまま終わること。
docs/progress_index.md,3,next,このページは**日付ごとの履歴**。各節の「現在」「次にやること」は当時の記録であり、現在の未完了作業とは限らない。最新の状態は[研究の現在地](research_status.md)、更新関係は[文書案内](document_index.md)を読む。
docs/progress_index.md,9,method,- 卒論PDFのFig. 4.2.2/4.2.3、Table 4.2.1/4.2.2を実読。AUC定義・chunk集計を揃えた比較も作成。回帰の統合改善とONB改善は一致せず、3 kHzの統合は全条件で最初のONB点を見逃す。
docs/progress_index.md,10,old_claim,- 18 WAV×3区間の波形診断、216保存配列の再構成照合。2–3 kHzの帯域内SNRが高いこととRFの依存は整合。224列へのresizeも帯域比較に含まれる。22 kHz回復のモデル内部原因は未確定。
docs/progress_index.md,11,method,- 3 kHzのIG210例も不整合。両帯域で420/420。手法の説明対象、マスク/積分/ランダム化の限界と次の比較を整理。
docs/progress_index.md,12,next,- [分析・図表・検算](../experiments/2026-09-15_onb_frequency_comparison/analysis.md)、[本人の理想の結論と背景](research_plan/2026-09-15_master_thesis_hypothesis.md)、[金曜準備](research_plan/2026-09-18_xai_progress_brief.md)。
docs/progress_index.md,16,old_execution,- 本人の終了連絡を受け、06.11・22 kHzの7/7完了を確認。3 kHzは別途実行中で集計対象外。
docs/progress_index.md,18,method,- 全35組でWAV ROC-AUC=1.0だが32組は最初のONB点を見逃す。近傍1 WAVの制約を併記。
docs/progress_index.md,19,old_claim;method,- RFの最大マスク帯域は2–5 kHzが21/21。IG210例すべてで数値不一致。log変換と積分法の組合せを原因候補として補助数値例を作成し、モデル全体の原因確定とは区別した。
docs/progress_index.md,25,old_execution,- 現行コードは06.11・22 kHz・7ノイズ、2統合方式。9/14の保存済み6条件や70条件への拡張計画と区別した。9/15開始runは採取時点で途中。
